SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand,Age,Num Covid Shots
224,Romero,Stephen,M,1.89,48.36,V6536037Z,Thailand,Grease-And-Tallow Pumper,20218,Sleeping,-,34.0,1.0
225,Wong,Bruce,M,1.85,88.48,X6902769T,Sweden,"Glazing Operator, Black Powder",10154,Bowling,-,24.0,0.0
226,Noel,Lisa,F,1.56,47.0,Q4105015P,Japan,Hammer Adjuster,67330,Computer Games,-,30.0,0.0
227,Sweet,Catherine,F,1.47,58.78,X1852104P,Germany,"Observer Helper, Seismic Prospecting",86590,Bowling,Mazda,31.0,0.0
228,Hooper,Jane,F,1.74,45.05,K0340375H,Lithuania,Dialer,67126,Gardening,-,41.0,1.0
229,Boyle,Tyler,M,1.52,65.67,38720110C,Czechia,Electromechanical Technician,115300,Watching Sports,-,27.0,0.0
230,Flowers,Michael,M,1.76,55.56,G3135373H,Argentina,Oilseed-Meat Presser,38714,Team Sports,-,15.0,1.0
231,Solomon,Julie,F,1.61,55.69,T3160164P,Romania,"Glass-Cutting-Machine Operator, Automatic",69976,Fishing,-,31.0,1.0
232,Bray,Linda,F,1.68,56.96,Q7934766W,Finland,Deposit-Refund Clerk,21151,Eating Out,-,27.0,1.0
233,Trevino,Marie,F,1.68,56.71,F7128871I,China,"Die Maker, Bench, Stamping",23818,Computer Games,-,31.0,1.0
234,Ferrell,Wayne,M,1.84,71.63,L3924292L,China,"Metallurgist, Physical",182396,Sleeping,GMC,33.0,0.0
235,Golden,Paul,M,1.94,67.3,26098678Q,Argentina,Casting-Machine-Operator Helper,12198,Housework,-,22.0,0.0
236,Wallace,Joe,M,1.74,48.91,25644546M,Australia,Electric-Meter Installer I,33434,Horseback Riding,-,32.0,1.0
237,Munoz,Ryan,M,1.9,53.8,S1174313W,Italy,Stave-Planer Tender,33007,Crafts,-,36.0,1.0
238,Best,Hannah,F,1.51,52.95,C3700506N,Netherlands,"Bender, Machine",20136,Sewing,-,28.0,0.0
239,Church,Arthur,M,1.84,52.35,I3103958K,India,Egg Candler,45605,Bowling,-,26.0,0.0
240,Boyer,Terry,M,1.74,70.3,59233181G,Latvia,Irish-Moss Operator,139411,Crafts,-,28.0,0.0
241,Mccarty,Katherine,F,1.42,39.32,K1566320N,Malta,"Supervisor, Insulation",11841,Camping,-,27.0,1.0
242,Mccall,William,M,1.78,53.47,P4260909B,Slovakia,"Heel-Seat Laster, Machine",17419,Gardening,-,26.0,2.0
243,Greene,Rose,F,1.49,40.79,10866807G,Romania,Bellows Assembler,16390,Tennis,-,34.0,0.0
244,Allen,Lauren,F,1.56,51.41,E6563106G,Sweden,"Sweeper-Cleaner, Industrial",49521,Housework,-,28.0,2.0
245,Ward,Douglas,M,1.94,58.42,S8591201L,France,Steam-Press Tender Ii,43255,Horseback Riding,Audi,22.0,0.0
246,Parrish,Natalie,F,1.73,41.6,86423021E,Saudi Arabia,Intelligence Research Specialist,22458,Cooking,-,36.0,1.0
247,Harrison,Julie,F,1.55,42.81,Z9353154Z,Turkey,"Supervisor, Ride Assembly",109973,Motorcycling,-,32.0,1.0
248,Higgins,Robert,M,1.91,52.48,M3796611F,Spain,Cryptographic-Machine Operator,58529,Computer Games,Rolls Royce,35.0,0.0
249,Griffith,Cheryl,F,1.65,44.93,S9725543H,Italy,Protective-Clothing Issuer,12616,Traveling,-,25.0,1.0
250,Calderon,Cheryl,F,1.44,43.6,73470619V,Spain,Coppersmith,91192,Housework,-,29.0,0.0
251,Chavez,Christopher,M,1.94,53.14,Y9697179X,France,Black Oxide Coating Equipment Tender,8156,Hiking,-,35.0,0.0
252,Cote,Brian,M,1.88,80.86,22000173G,Saudi Arabia,"Shaker, Wearing Apparel",76558,Playing Cards,-,26.0,0.0
253,Page,Peter,M,1.66,65.1,U9733369U,Germany,Retort Unloader,34430,Fishing,-,36.0,1.0
254,Carney,Abigail,F,1.72,44.06,O3485024K,Indonesia,"Head Sawyer, Automatic",39383,Boating,-,35.0,0.0
255,Lindsey,Christopher,M,1.66,48.65,R4785568N,Austria,"Assembler, Fishing Floats",18970,Sewing,-,26.0,1.0
256,Doyle,Brandon,M,1.67,48.36,C3382243Z,United States of America,"Electrician Apprentice, Powerhouse",49707,Theater,Land Rover,26.0,1.0
257,Chambers,Olivia,F,1.72,39.32,30511929X,Denmark,"Drafter, Plumbing",27317,Shopping,-,34.0,0.0
258,Beach,Betty,F,1.5,39.32,P5958554W,Italy,Electric-Container Tester,98676,Fishing,-,31.0,1.0
259,Kane,Catherine,F,1.45,56.67,X0235293N,China,Forming-Machine Operator,67178,Writing,Alfa Romeo,27.0,0.0
260,Bishop,Lori,F,1.66,48.46,38020741U,Cyprus,Corrugated-Fastener Driver,107174,Socializing,-,28.0,0.0
261,Moody,Daniel,M,1.65,70.89,61923648X,Australia,"Electrician, Office",23546,Hiking,-,31.0,0.0
262,Kirby,Alexis,F,1.43,40.25,71303218K,Croatia,"Supervisor, Particle Board",22294,Working on Cars,-,38.0,1.0
263,Whitney,Albert,M,1.8,48.36,D5019592K,Netherlands,"Drawer-In, Stitch-Bonding Machine",70760,Painting,-,17.0,1.0
264,Gonzalez,Wayne,M,1.94,57.27,C0252841F,Canada,Boilermaker Ii,14059,Computer Games,-,19.0,2.0
265,Guerrero,Keith,M,1.94,66.9,F3623714F,Vietnam,Brush Operator,19732,Beach,-,36.0,1.0
266,Sellers,Scott,M,1.91,52.87,X0343992X,South Africa,Chip-Applying-Machine Tender,41188,Fishing,-,33.0,1.0
267,Clemons,Roy,M,1.71,65.85,O2374440V,Japan,"Director, Utility Accounts",16810,Painting,-,26.0,0.0
268,Young,Richard,M,1.83,59.63,A1348452F,Denmark,"Supervisor, Malt House",28545,Theater,-,25.0,1.0
269,Randolph,Douglas,M,1.94,48.36,T6503510Q,Indonesia,Hair-Sample Matcher,39940,Billiards,-,35.0,0.0
270,Blackwell,Gloria,F,1.39,45.29,Y7662869K,Latvia,Base-Filler Operator,50065,Bicycling,-,39.0,1.0
271,Wagner,Cynthia,F,1.39,43.78,L3452863R,Greece,Insurance Checker,249692,Watching Sports,Tesla,31.0,0.0
272,Stevenson,Julie,F,1.56,49.17,O0413837Y,Finland,Friction-Paint-Machine Tender,10027,Housework,-,38.0,1.0
273,Villarreal,Robert,M,1.84,59.5,41091486Z,Spain,"Supervisor, Whipped Topping",12997,Playing Cards,-,30.0,1.0
274,Bryan,Amy,F,1.81,49.05,76636259I,United States of America,Sales Clerk,32464,Exercise,-,33.0,0.0
275,Burks,Vincent,M,1.9,48.36,W9105999F,Poland,Veneer-Jointer Offbearer,121539,Running,TATA Motors,35.0,1.0
276,Briggs,Stephanie,F,1.51,65.01,36301674I,Egypt,Sand Filler,15922,Golf,-,36.0,1.0
277,Vinson,Peter,M,1.61,48.36,42180204X,Vietnam,Doubling-Machine Operator,190431,Billiards,-,28.0,0.0
278,Stone,Jerry,M,1.86,48.36,I6260564V,United Kingdom,Bone Picker,6719,Traveling,-,38.0,1.0
279,Chen,Bryan,M,1.62,66.06,Z1840611X,Malta,Maintenance Inspector,80458,Exercise,Mitsubishi,37.0,0.0
280,Graves,Terry,M,1.94,76.11,C2553211X,Slovenia,"Plater, Semiconductor Wafers And Components",30605,Going to Movies,-,34.0,1.0
281,Workman,Rose,F,1.62,46.27,V9624890O,Saudi Arabia,Lines Tender,47002,Working on Cars,Ram,37.0,0.0
282,Hahn,Alexander,M,1.92,74.41,17433757C,United States of America,Bindery Worker,45413,Bowling,Mercedes-Benz,25.0,1.0
283,Petersen,Ann,F,1.52,39.99,L0318938E,Bulgaria,Drawer Liner,26721,Cooking,-,32.0,0.0
284,Ochoa,Amanda,F,1.62,41.64,V7534078T,Canada,Automatic Pattern Edger,11829,Hiking,-,32.0,0.0
285,Brown,Carolyn,F,1.51,43.84,G7234596H,Japan,"Inspector, Surgical Garment",9023,Hunting,-,36.0,0.0
286,Andrews,Roger,M,1.82,53.75,H5626019M,Slovakia,Mat Inspector,24441,Swimming,-,23.0,1.0
287,Dyer,Kathleen,F,1.67,52.38,05742060K,Thailand,Nuclear-Criticality Safety Engineer,34035,Going to Movies,-,31.0,0.0
288,Norton,Christian,M,1.9,54.31,27609247K,Italy,Instrument-Shop Supervisor,49196,Shopping,-,42.0,2.0
289,Rich,Margaret,F,1.49,45.53,W3777854P,Cyprus,Stripping-Shovel Operator,10776,Tennis,-,22.0,2.0
290,Washington,Samantha,F,1.56,45.63,L4232979K,Belgium,Wrapper,71063,Dancing,-,35.0,1.0
291,Fry,Madison,F,1.53,39.32,O0601474S,Canada,Fund Raiser Ii,16262,Relaxing,-,22.0,1.0
292,Schroeder,Edward,M,1.82,64.18,U3886376F,Cyprus,Density Control Puncher,24606,Hunting,-,39.0,1.0
293,Wolfe,William,M,1.63,73.65,68189674Z,Denmark,Rounding-Machine Operator,32348,Traveling,-,20.0,0.0
294,Hawkins,Stephen,M,1.94,52.17,D8102882X,Singapore,Drivers'-Cash Clerk,27009,Dancing,-,22.0,0.0
295,Pittman,Nicholas,M,1.57,48.36,J4022652V,Spain,Level-Glass-Vial Filler,89674,Horseback Riding,TATA Motors,32.0,0.0
296,Kent,Kyle,M,1.59,75.63,P9437132T,Sweden,Tumbler-Machine Operator,59888,Volunteer Work,-,41.0,1.0
297,Joyce,Mark,M,1.89,76.07,R7450749S,Bulgaria,Professor,20550,Volunteer Work,-,41.0,1.0
298,Dorsey,Beverly,F,1.61,56.65,H5707400S,Denmark,Proposal Writer,15057,Bowling,-,38.0,1.0
299,Bradley,Joyce,F,1.74,45.41,V1666379B,Mexico,"Plate Stacker, Machine",109115,Fishing,Mazda,38.0,0.0
300,Sosa,Charles,M,1.94,90.73,Z3903697Y,Turkey,Sewing Machine Operator,13326,Volunteer Work,-,29.0,0.0
301,Mcclure,Victoria,F,1.52,50.62,30213296D,France,Farm-Machine Tender,75572,Shopping,Porsche,36.0,1.0
302,Gregory,Cheryl,F,1.5,39.32,T9660169O,Turkey,Slitter Service And Setter,54125,Writing,-,28.0,1.0
303,Stout,Teresa,F,1.57,44.75,12047741F,France,Cheesemaker,30036,Volunteer Work,-,43.0,1.0
304,Underwood,Jose,M,1.69,70.01,81749530W,Belgium,Maintenance Engineer,70099,Socializing,Maserati,39.0,0.0
305,Livingston,Diana,F,1.58,42.8,V2757421F,Australia,"Molder, Pattern",28823,Reading,-,40.0,1.0
306,Wynn,James,M,1.87,62.74,H8006153H,Japan,"Sales Representative, Printing Supplies",80700,Working on Cars,-,31.0,1.0
307,Vinson,Susan,F,1.39,39.32,C7269048S,Australia,Shaker,28818,Crafts,-,44.0,1.0
308,Yang,Bradley,M,1.77,52.88,38666234Z,Canada,"Superintendent, Stevedoring",12969,Painting,-,21.0,1.0
309,Robertson,Doris,F,1.42,48.27,C8690448Y,Greece,Oven-Press Tender Ii,87957,Family Time,Honda,43.0,1.0
310,Riley,Christine,F,1.39,39.32,35863439H,Saudi Arabia,"Supervisor, Mirror Fabrication",9223,Watching TV,-,34.0,0.0
311,Harding,Jennifer,F,1.79,39.32,67805775I,United States of America,"Test Engineer, Mechanical Equipment",20461,Animal Care,-,31.0,0.0
312,Cotton,Joe,M,1.87,59.84,W1843070S,Thailand,Flanger,40085,Tennis,-,23.0,0.0
313,Garrison,Randy,M,1.91,58.13,40617231B,Chile,Springer,15120,Beach,-,28.0,1.0
314,Rhodes,Teresa,F,1.44,45.16,68558909B,Vietnam,Lining Inserter,58623,Housework,-,29.0,1.0
315,Lee,Betty,F,1.81,42.14,51186382N,Germany,Materials Scientist,27742,Animal Care,-,39.0,1.0
316,Davidson,Janice,F,1.39,40.99,72738031U,Belgium,Injection-Molding-Machine Operator,32960,Reading,-,23.0,0.0
317,Pruitt,Gloria,F,1.75,56.78,67914857Q,Chile,Can Doffer,20207,Camping,-,29.0,2.0
318,Abbott,Abigail,F,1.82,42.32,H9631166Q,Mexico,Debridging-Machine Operator,8878,Sleeping,-,30.0,1.0
319,Wilder,Jeremy,M,1.72,66.31,21284333J,Ireland,News Assistant,23819,Hunting,-,30.0,0.0
320,Sykes,Adam,M,1.63,51.22,L9674374N,Japan,"Document Preparer, Microfilming",73032,Eating Out,-,22.0,0.0
321,Gonzalez,Ralph,M,1.58,48.36,N7309150G,Belgium,Drum Tester,31083,Watching Sports,-,32.0,0.0
322,Cook,Donald,M,1.67,76.96,D0723048B,Finland,Porter,9799,Hiking,-,26.0,0.0
323,Mays,Christine,F,1.75,39.32,25396078E,Argentina,"Sales Representative, Mortician Supplies",127389,Hiking,-,38.0,1.0
324,Bond,Diane,F,1.8,39.32,D0754369Y,Slovenia,Drill Press Tender,34164,Working on Cars,-,36.0,0.0
325,Fuller,Ruth,F,1.79,45.76,80182847E,Malta,Crystal Grower,19368,Writing,-,35.0,1.0
326,Goodwin,Roger,M,1.94,48.36,20185457H,Thailand,Veterinary Meat-Inspector,56919,Traveling,Suzuki,38.0,1.0
327,Rogers,Betty,F,1.78,48.2,Z8380839X,Argentina,Clicking-Machine Operator,8535,Listening to Music,-,38.0,0.0
328,Kemp,Emma,F,1.69,39.96,Z5561000J,Brazil,Die Sinker,122505,Cooking,Bugatti,32.0,2.0
329,Reilly,Pamela,F,1.4,40.41,Z3283906A,Senegal,Creping-Machine-Operator Helper,23033,Swimming,-,38.0,1.0
330,Buck,Lawrence,M,1.81,54.54,T2687248X,Turkey,Screen-Printing-Equipment Setter,78120,Camping,-,25.0,0.0
331,Berger,Johnny,M,1.61,48.38,M4634537N,Hungary,"Supervisor, Glazing Department",57806,Horseback Riding,Infiniti,23.0,1.0
332,Moran,Debra,F,1.39,51.6,53050058Y,Germany,Document Restorer,296935,Horseback Riding,-,38.0,1.0
333,Morton,Donald,M,1.62,67.51,U7879721Z,Argentina,"Assembler, Subassembly",220740,Bicycling,-,38.0,0.0
334,Raymond,Russell,M,1.75,58.01,Q7705951J,Saudi Arabia,Set-Up Mechanic,42420,Listening to Music,-,37.0,0.0
335,Hahn,James,M,1.93,56.09,K0463599J,Saudi Arabia,"Teacher, Kindergarten",91460,Entertaining,-,22.0,0.0
336,Moses,Jane,F,1.82,44.47,77676598O,Romania,Stamp Classifier,6798,Crafts,-,32.0,0.0
337,Wooten,Judith,F,1.58,47.22,X2462997T,China,Vacuum-Applicator Operator,87415,Fishing,Honda,37.0,1.0
338,Floyd,Gerald,M,1.94,48.6,48681794I,Saudi Arabia,Sorter Operator,18353,Going to Movies,-,36.0,0.0
339,Griffin,Frank,M,1.82,93.11,15944533V,Luxembourg,"Supervisor, Claims",39719,Sleeping,-,45.0,1.0
340,David,Diana,F,1.6,39.32,64682769K,Slovakia,Spiral-Tube Winder,27478,Motorcycling,-,27.0,0.0
341,Burt,Heather,F,1.63,57.27,J2249919M,Romania,Dairy Technologist,34519,Reading,-,26.0,1.0
342,Lane,Olivia,F,1.47,42.28,P9087115O,Malta,Electric Blanket Wirer,156017,Hiking,Nissan,31.0,0.0
343,Gilliam,Paul,M,1.52,48.36,R3588783U,Belgium,Boiling-Tub Operator,39141,Horseback Riding,-,40.0,1.0
344,Dejesus,Mary,F,1.74,50.2,D7106073X,Australia,Pull-Out Operator,11036,Watching Sports,-,25.0,1.0
345,Haney,Lawrence,M,1.94,48.36,25019450H,Singapore,Topper,73368,Playing Music,-,27.0,1.0
346,Mcfadden,Teresa,F,1.41,48.76,R3769220P,Spain,Dog Licenser,34988,Tennis,-,29.0,1.0
347,Hines,Alice,F,1.39,53.21,38095839S,South Africa,Raw-Stock-Drier Tender,60952,Swimming,-,38.0,1.0
348,Lawrence,Jerry,M,1.94,65.87,X8888729W,France,"Cook, Head, School Cafeteria",60689,Camping,Tesla,37.0,1.0
349,Doyle,Amanda,F,1.54,46.23,B6836728I,France,Diffuser Operator,45193,Hunting,General Motors,32.0,0.0
350,Odonnell,Joe,M,1.74,50.69,22564614E,Poland,Retail Worker,38988,Running,-,36.0,0.0
351,Mcgowan,Timothy,M,1.83,49.95,N4471328P,Brazil,Calibrator,38233,Reading,-,22.0,1.0
352,Gill,Douglas,M,1.82,59.89,V7498288K,Saudi Arabia,"Die Maker, Stamping",28330,Motorcycling,-,50.0,1.0
353,Workman,Kathleen,F,1.82,48.42,69530348M,Denmark,Machine Operator I,72878,Relaxing,-,35.0,0.0
354,Grimes,Bradley,M,1.83,57.3,F4084819E,Estonia,"Inspector, Agricultural Commodities",74956,Relaxing,-,33.0,1.0
355,Calderon,Susan,F,1.56,39.32,Q5071413G,Vietnam,Director Of Placement,152298,Skiing,Volkswagen,37.0,0.0
356,Gaines,Brandon,M,1.62,66.69,V5992491P,Latvia,"Registrar, College Or University",29370,Beach,-,29.0,0.0
357,Mcdonald,Olivia,F,1.56,49.49,14220036H,India,"Spring-Repairer Helper, Hand",9512,Entertaining,-,32.0,1.0
358,Shepard,Nathan,M,1.76,56.94,16295327L,Bulgaria,Edge Stripper,47963,Hiking,Toyota,27.0,1.0
359,Chase,Keith,M,1.67,59.38,68861883E,China,"Mill Hand, Plate Mill",86116,Volunteer Work,-,22.0,1.0
360,Potts,Jean,F,1.57,40.0,57407800F,Italy,Shipping Checker,52019,Going to Movies,-,38.0,0.0
361,Davidson,Gerald,M,1.52,89.44,36771858I,Japan,Thrasher Feeder,19401,Team Sports,-,30.0,0.0
362,Cline,Debra,F,1.39,39.32,B9042612O,China,"Supervisor, Lending Activities",29602,Cooking,-,39.0,1.0
363,Potter,Alice,F,1.46,46.4,85079389G,Luxembourg,Planimeter Operator,21136,Listening to Music,-,31.0,2.0
364,Rosa,Willie,M,1.52,83.41,I3951730O,Malta,Milk Receiver,22360,Writing,-,31.0,1.0
365,Moody,Maria,F,1.68,50.51,C8087569N,United Kingdom,Squaring-Machine Operator,42464,Watching Sports,Saab,30.0,1.0
366,Copeland,Carolyn,F,1.56,60.44,41704547C,Bulgaria,"Sales Representative, Telephone Services",104817,Working on Cars,Chevrolet,29.0,1.0
367,Snow,Kathryn,F,1.44,42.88,Q4382974Z,Canada,"Carpenter, Mold",85509,Playing Music,-,28.0,0.0
368,Lucas,Timothy,M,1.72,48.52,U5514968Y,Vietnam,"Cashier, Courtesy Booth",22770,Hunting,-,22.0,0.0
369,Clay,Bruce,M,1.9,74.77,J1453692H,Italy,"Striper, Hand",20381,Going to Movies,-,19.0,0.0
370,Johnson,Bruce,M,1.87,65.19,P4137450Z,Estonia,Gambling Dealer,13881,Entertaining,-,28.0,0.0
371,Mccall,Alice,F,1.57,54.86,15894064D,Croatia,"Catcher, Filter Tip",11557,Eating Out,-,34.0,0.0
372,Graves,Jason,M,1.57,48.41,V3625449W,Germany,"Salesperson, Toy Trains And Accessories",10659,Hiking,-,37.0,0.0
373,Maldonado,Kathleen,F,1.55,44.9,T3627667P,Greece,"Supervisor, Hot-Strip Mill",12224,Dancing,-,25.0,1.0
374,Armstrong,Andrea,F,1.42,45.29,G7088754C,Hungary,Protective-Signal Repairer,26530,Watching Sports,-,30.0,1.0
375,Gordon,Arthur,M,1.8,48.36,O3053996J,Estonia,Baggage Handler,31650,Painting,-,31.0,0.0
376,Lyons,Alice,F,1.58,50.75,38670757F,United Kingdom,"Filer, Finish",14137,Exercise,-,32.0,1.0
377,Lawrence,Mary,F,1.56,39.32,J8151431U,Denmark,Safety-Lamp Keeper,32424,Sewing,-,40.0,1.0
378,Schwartz,Vincent,M,1.55,59.26,L2621534X,Brazil,Paper-Novelty Maker,19432,Dancing,-,15.0,0.0
379,Boyle,Roger,M,1.94,48.36,O3517189T,Luxembourg,Motorcycle Tester,17041,Watching Sports,-,21.0,1.0
380,Cunningham,Debra,F,1.78,39.32,D4201226E,Brazil,Trolley-Wire Installer,57923,Watching TV,Volkswagen,29.0,0.0
381,Tyson,Timothy,M,1.94,64.5,12656571O,Thailand,"Medical Technologist, Chief",7679,Sewing,-,35.0,1.0
382,Suarez,Kathryn,F,1.73,41.09,W1119066W,Portugal,Cutting-Machine Fixer,41386,Fishing,-,37.0,1.0
383,Payne,Katherine,F,1.39,42.29,P4563905D,Germany,Sales Engineer,36765,Animal Care,-,17.0,0.0
384,Rios,Matthew,M,1.94,51.67,P0694447O,Singapore,Lehr Tender,17929,Running,-,24.0,1.0
385,Cross,Kenneth,M,1.94,58.35,M6354414L,Czechia,"Laborer, Shellfish Processing",10714,Sewing,-,36.0,1.0
386,Baird,Thomas,M,1.94,71.84,A1153354N,France,Bobbin Sorter,18003,Painting,-,28.0,0.0
387,Ramos,Pamela,F,1.71,50.61,86596885R,Portugal,Floor Worker,20579,Crafts,-,30.0,0.0
388,Mason,Jesse,M,1.77,53.13,74288634X,Russia,Bird-Cage Assembler,43617,Theater,-,42.0,1.0
389,Stuart,Doris,F,1.76,43.25,A3483331R,Russia,Bulk-Station Operator,143727,Motorcycling,-,36.0,0.0
390,Jones,Wayne,M,1.81,66.7,P4239795O,Spain,"Desizing-Machine Operator, Head-End",37824,Bicycling,-,35.0,0.0
391,Allen,Eric,M,1.6,48.36,77035314P,Russia,"Manager, Records Analysis",56298,Reading,Infiniti,15.0,2.0
392,Mccoy,Albert,M,1.79,48.36,41660159J,Latvia,Supervisor Iv,46402,Dancing,Dodge,39.0,1.0
393,Holman,Anna,F,1.82,43.84,X4924264L,Turkey,Coffee Grinder,80598,Working on Cars,Koenigsegg,28.0,1.0
394,Johnston,Juan,M,1.94,48.36,10789317P,Netherlands,Wire-Winding-Machine Operator,9312,Volunteer Work,-,28.0,1.0
395,Robertson,Philip,M,1.61,74.46,I4484623Q,Indonesia,Glass-Vial-Bending-Conveyor Feeder,177606,Skiing,-,23.0,0.0
396,Drake,Patricia,F,1.7,45.41,Y1802720Z,Spain,Asbestos-Shingle Shearing-Machine Operator,139808,Golf,Citroen,25.0,0.0
397,Rose,Raymond,M,1.79,64.87,47099178W,Belgium,Mellowing-Machine Operator,102052,Motorcycling,-,24.0,0.0
398,Matthews,Albert,M,1.94,75.29,E9745807V,Belgium,Fiber Technologist,75410,Shopping,BMW,35.0,1.0
399,Bishop,Katherine,F,1.75,43.11,34444076E,Saudi Arabia,Centrifugal-Casting-Machine Operator,60980,Going to Movies,Renault,25.0,0.0
400,Ingram,Christina,F,1.39,45.18,J7887240B,South Africa,"Supervisor, Vat House",147576,Animal Care,-,39.0,1.0
401,Hahn,Julie,F,1.43,48.79,51506060J,Indonesia,"Supervisor, Reinforced-Steel-Placing",55257,Hiking,General Motors,35.0,1.0
402,Vang,Alexander,M,1.67,76.54,O8563105X,Malta,Lost-Charge-Card Clerk,75504,Writing,General Motors,30.0,1.0
403,Best,Stephanie,F,1.63,39.32,H7015992J,Mexico,Service Mechanic,51819,Camping,-,26.0,1.0
404,Boyer,Joshua,M,1.91,57.49,16454645V,Italy,"Machine Feeder, Raw Stock",13438,Billiards,-,26.0,1.0
405,James,Patrick,M,1.93,48.36,47459944Y,Australia,Steam-Tunnel Feeder,13924,Gardening,-,26.0,1.0
406,Griffin,Linda,F,1.53,43.54,76637711L,Senegal,"Sales Representative, Railroad Equipment And Supplies",16891,Cooking,-,39.0,0.0
407,Cortez,Linda,F,1.54,51.64,P4803240D,Italy,Jammer Operator,6737,Walking,-,26.0,1.0
408,Moody,Carol,F,1.39,51.38,05123594B,Saudi Arabia,"Supervisor, Lathing",52544,Listening to Music,Porsche,34.0,0.0
409,Deleon,Marilyn,F,1.59,42.09,L1789963T,Chile,"Sales Representative, Canvas Products",50023,Crafts,Porsche,28.0,0.0
410,Acosta,Mary,F,1.65,42.85,F0272619I,Indonesia,Correspondence-Review Clerk,75500,Boating,Lexus,30.0,0.0
411,Hyde,Gloria,F,1.39,46.12,A5563907V,Brazil,Personnel Clerk,19034,Animal Care,-,37.0,1.0
412,Knapp,Gary,M,1.86,69.55,34162515G,Australia,Tonnage-Compilation Clerk,7334,Family Time,-,27.0,0.0
413,Acosta,Willie,M,1.94,66.86,D1599289F,Italy,Plant Operator,27296,Reading,-,34.0,1.0
414,Combs,Nathan,M,1.68,86.41,N8589427G,India,"Supervisor, Dental Laboratory",11402,Housework,-,36.0,0.0
415,Simpson,Louis,M,1.64,48.36,44438845Q,Latvia,Vibrator-Equipment Tester,117334,Painting,-,16.0,1.0
416,Kirk,Joshua,M,1.55,66.88,U4661369M,Netherlands,Wash-Oil-Pump Operator Helper,90341,Bowling,-,31.0,1.0
417,Garrison,Grace,F,1.6,43.8,R9141613Q,Belgium,"Supervisor, Feed House",35399,Animal Care,-,28.0,1.0
418,Woodward,Peter,M,1.9,77.64,G7542744S,Latvia,Food Kitchen Worker,113562,Theater,-,35.0,1.0
419,Wooten,Kenneth,M,1.89,64.59,02973536T,Argentina,"Supervisor, Lime",8498,Swimming,-,38.0,1.0
420,Lawrence,Walter,M,1.52,56.23,P6427815U,Czechia,Profile-Saw Operator,16117,Eating Out,-,27.0,2.0
421,Coleman,Zachary,M,1.94,48.36,S8476187F,Slovenia,Medical Radiation Dosimetrist,51025,Beach,-,37.0,1.0
422,Mcintosh,Steven,M,1.56,48.36,05101283X,Russia,"Printed Circuit Board Component Tester, Pre-Assembly",8466,Crafts,-,24.0,2.0
423,Sosa,James,M,1.72,48.77,X7620819H,Thailand,Paper Sorter And Counter,11822,Relaxing,-,24.0,1.0
424,Medina,Barbara,F,1.71,46.35,L3020730N,Netherlands,"Supervisor, Aircraft Cleaning",56310,Swimming,-,24.0,0.0
425,Craig,Sandra,F,1.82,48.01,04123165I,Australia,"Manager, Reports Analysis",35836,Volunteer Work,-,27.0,1.0
426,Mathews,George,M,1.74,52.42,03462686H,Japan,Fiberglass-Container-Winding Operator,123839,Going to Movies,Volkswagen,16.0,0.0
427,Orr,George,M,1.77,57.11,Y6830446K,Australia,Blanket-Cutting-Machine Operator,41753,Entertaining,-,26.0,1.0
428,Foster,Jeremy,M,1.94,48.36,I7685805S,Germany,Ticket Broker,8517,Listening to Music,-,39.0,0.0
429,Meyers,Helen,F,1.8,39.32,52689623Q,Romania,"Splicing-Machine Operator, Automatic",20767,Skiing,-,30.0,1.0
430,Fulton,Heather,F,1.52,41.27,A8432093G,Slovenia,Section Leader And Machine Setter,78391,Team Sports,General Motors,20.0,1.0
431,Weber,Barbara,F,1.61,41.53,Y1547043Z,Chile,Electric-Meter Repairer,65051,Sewing,Rolls Royce,34.0,1.0
432,Charles,Johnny,M,1.59,48.36,76062391K,Ireland,Chief,34229,Painting,-,43.0,1.0
433,Shannon,Larry,M,1.94,67.39,13808438P,Czechia,"Heat Welder, Plastics",27834,Fishing,-,25.0,1.0
434,Diaz,Melissa,F,1.76,40.65,I4733869C,Netherlands,"Coremaker, Machine I",40203,Billiards,-,23.0,0.0
435,Henry,Joyce,F,1.62,39.32,54538983W,Italy,"Screen Maker, Textile",10214,Writing,-,43.0,1.0
436,Dotson,Jason,M,1.94,70.42,63904407Y,Luxembourg,"Stitcher, Special Machine",28424,Entertaining,-,22.0,1.0
437,Craft,Jennifer,F,1.58,39.32,41597234D,Saudi Arabia,"Contact Printer, Photoresist",26591,Playing Music,-,36.0,2.0
438,Chang,Sandra,F,1.79,39.32,48677404N,Czechia,Chemical Operator Ii,36327,Going to Movies,-,32.0,1.0
439,Foreman,Alexis,F,1.6,50.37,31130327K,Sweden,Poultry Boner,9946,Playing Cards,-,28.0,1.0
440,Short,Betty,F,1.45,54.36,U1363432U,Romania,Engineer Of System Development,28955,Painting,-,28.0,1.0
441,Delgado,Deborah,F,1.45,39.32,63941436C,Belgium,Joiner,45882,Traveling,-,32.0,0.0
442,Sanford,Melissa,F,1.82,39.32,25876568D,Latvia,Wash-Mill Operator,51254,Sewing,-,35.0,0.0
443,Brennan,Henry,M,1.81,48.36,S6860122L,Malta,"Commanding Officer, Investigation Division",32710,Crafts,-,22.0,1.0
